taxid,CDS,CDS-length,exon,exon-length,gene,gene-length,mRNA,mRNA-length
212818,25431,626.0125831,26654,807.2479553,9237,2099.172242,10347,2194.917561
214684,40811,255.2547107,43003,277.0346487,6617,2140.072389,6594,2183.554443
215243,33082,585.7066381,34754,742.2318007,11938,1999.592562,13234,2083.627777
222929,22955,494.2149858,23727,570.3662494,7255,2053.784287,7229,2060.883663
227321,35126,433.6300746,35309,431.8222266,9545,1868.098795,9541,1868.850749
229533,37233,479.2716676,37935,504.8945565,13726,1543.277503,13316,1583.215305
235443,49075,250.713133,54795,322.2641299,8338,2196.581554,7813,2465.152438
236234,32355,533.6069541,32355,533.6069541,10839,1748.450595,10839,1748.450595
237561,6432,1392.342195,6732,1336.73366,6275,1453.47251,6048,1494.672784
237631,9745,1233.382555,10196,1180.885543,6910,1800.182055,6783,1835.535751
240176,75140,246.7385281,75865,251.7790549,13657,1727.130629,13356,1763.56746
242507,34947,489.8115718,36522,641.9493182,13184,1958.759026,12989,2020.222188
246410,31128,416.2860126,32452,514.593307,9905,1847.106209,9910,1881.398688
253628,30075,555.9029426,32126,718.8206126,9871,2083.231182,11357,2184.195562
261658,44153,460.7591104,44367,458.8670634,12363,2044.78557,12165,2076.847842
27334,34647,482.2982942,34647,482.2982942,11060,1682.837613,11060,1682.837613
280463,134802,295.0077966,138223,311.6006164,38549,1725.119614,38554,1725.36004
283643,42017,254.996073,42226,253.9300194,6609,1935.371312,6578,1967.755397
284590,5263,1406.567357,5547,1341.037137,5412,1398.332594,5076,1466.936564
284591,7576,1249.408923,8537,1114.973878,7367,1381.441971,6448,1509.495968
284592,6769,1336.89378,7030,1287.789474,6658,1402.257735,6272,1449.729114
284593,5348,1482.945213,5629,1413.066619,5499,1471.067103,5202,1533.096694
284811,5053,1389.221453,5684,1284.224314,5356,1370.320202,4769,1477.444747
284812,10204,701.9098393,12095,1041.953617,6991,1870.963811,5155,2140.301067
284813,2011,1072.339632,2070,1049.278744,2029,1068.073435,1996,1080.667335
294381,10700,961.7949533,10785,960.2981919,8342,1276.35615,8163,1290.490261
294746,5935,1398.87481,6077,1367.995392,6062,1371.662158,5920,1402.70777
294747,6288,1447.288645,6475,1407.909189,6441,1416.392951,6254,1456.240166
296543,29319,596.5940857,29614,615.7411022,11771,1745.399796,11687,1749.336271
306901,34469,477.7415359,34653,475.6725247,11232,1763.758903,11048,1791.666636
306902,5951,1385.704587,6168,1339.683204,6153,1343.36665,5936,1389.638982
312017,121018,420.1551587,121197,425.2639339,26996,2400.773818,26996,2400.773818
31271,13926,750.0033032,14039,744.3501674,5314,2204.996236,5127,2273.434952
321614,41075,444.9761899,41513,454.6376316,16122,1317.778998,15983,1326.570043
322104,8383,1025.453656,8408,1083.747383,5816,1625.513411,5816,1625.513411
330879,28260,503.9803609,28489,500.5945453,9936,1594.480374,9630,1632.943094
331117,30962,492.5361734,31219,489.1477626,10678,1574.03437,10395,1612.047427
33203,30584,533.0433233,30671,531.7880082,11850,1551.002869,11763,1561.804897
332648,43219,382.1415581,43414,380.8498411,16584,1217.750241,16389,1231.114223
332952,37904,449.979026,38121,456.6929514,13485,1486.528439,13485,1486.528439
333668,14455,394.739329,14611,401.500924,4141,1654.578363,4061,1682.665353
334819,56581,506.0502289,62884,705.2990427,16290,1901.575322,20553,2310.470734
336722,28343,508.3789648,28645,533.3798569,10964,1605.605254,10963,1605.650461
336963,24047,465.6314717,24143,464.1088928,7856,1625.890402,7760,1644.981186
339724,32772,373.1060967,32861,372.3432945,9402,1652.858328,9313,1667.779878
341663,33099,471.7868214,33249,470.0504978,10551,1657.125581,10401,1679.770695
342668,30497,516.1553923,30639,514.1796077,10715,1623.59888,10573,1644.197862
344612,27959,483.9929182,28194,480.6277222,9379,1605.76618,9121,1645.630633
347515,8322,1888.809661,9609,1657.539494,9686,1665.48885,8321,1890.990866
348802,33097,587.8403481,34736,737.2195705,12077,1989.971433,13187,2067.706832
352472,30141,702.2359577,30608,691.7615003,13961,1703.472244,13273,1767.773601
352914,15314,663.9816508,17103,629.6998187,7403,1597.274618,7353,1607.624371
353151,3885,1360.110167,3967,1337.010335,3955,1341.228066,3885,1360.110167
353152,4042,1688.681841,4124,1659.150824,3887,1766.24955,3805,1799.101183
353153,19610,1495.301377,21600,1366.190833,25214,1418.997263,19607,1495.695466
36329,13740,893.010262,13815,891.1620702,5512,2514.429608,5334,2565.385827
367110,28673,590.4532138,31786,782.7155666,10591,2255.082051,10785,2482.133797
367775,39659,258.0409995,39555,258.2361016,6614,1993.322195,6565,1890.166794
370354,12167,880.8596203,12167,880.8631544,8814,1247.219197,8811,1247.214505
370355,17437,892.5138499,17437,892.5138499,12007,1340.620638,11997,1341.224639
379508,5851,1515.45787,5957,1490.062448,5908,1505.778605,5799,1532.299362
383855,46850,358.4842476,47456,395.1844235,13131,1825.333181,13066,1833.97505
398673,30610,540.4446259,30610,540.4446259,10943,1687.971854,10943,1687.971854
402676,10070,679.9264151,10612,912.9509989,5224,1934.155245,4878,2060.915539
403677,49224,456.8069031,50747,469.8890969,19344,1460.4009,17797,1530.955667
412030,129838,416.1575194,129838,416.1575194,39581,1435.798868,39580,1422.483628
412133,59737,919.5503624,60881,921.434372,60815,922.647439,59679,930.875953
413071,36096,486.0077848,36416,514.5417124,12405,1711.970093,12406,1711.922054
418459,71210,266.4364275,73207,301.9054189,16309,1679.061316,15979,1741.079229
420245,8570,1821.512485,8314,1841.371181,8463,1846.657332,8160,1875.095221
423536,133410,171.207893,139873,172.1517019,29475,1268.013469,23654,1582.459669
425011,35768,453.2807817,36537,480.2549197,10828,1803.934429,10593,1857.408855
425265,6377,974.9379018,6377,974.9379018,4286,1486.918805,4286,1486.918805
426418,32460,505.6587184,32846,527.9080862,12300,1600.606585,12169,1616.726765
