,parentTaxid,taxid,assembler
268,4890,665024,Allpaths-LG
269,4890,665079,
270,4890,665912,Newbler
273,4890,671987,Newbler
276,4890,683960,Newbler
278,4890,690307,Newbler
279,4890,692275,Newbler
282,4890,698492,Newbler
283,4890,717646,Newbler
294,4890,756982,gsAssembler
295,4890,759272,Celera
296,4890,759273,HGAP3.0
297,4890,759273,Manual
299,4890,763406,
303,4890,771870,
304,4890,796027,
306,4890,858893,ALLPATHS
307,4890,861557,Abyss
309,4890,869754,Newbler
310,4890,871575,Newbler
316,4890,91928,allpaths
318,4890,930089,AllPaths-LG
319,4890,930090,AllPaths-LG
320,4890,930091,Allpaths-LG
321,4890,931890,
327,4890,983644,Newbler
328,4890,983966,Allpaths-LG
329,4890,984485,Allpaths-LG
330,4890,984486,Allpaths-LG
331,4890,984487,Allpaths-LG
332,4890,985895,
0,716545,1028729,CLCBio
2,716545,1041607,
3,716545,1043004,Allpaths-LG
4,716545,1043005,AllPaths-LG
5,716545,1064592,
7,716545,1071378,
8,716545,1071380,
9,716545,1071381,
10,716545,1071382,
11,716545,1072389,Newbler
13,716545,1080349,AllPaths
14,716545,1081104,SOAPdenovo
18,716545,1116229,GS
27,716545,1136231,
29,716545,1168221,ALLPATHS
30,716545,1170230,SOAPdenovo
32,716545,1182541,allpaths
33,716545,1182542,allpaths
34,716545,1182543,
35,716545,1182544,allpaths
36,716545,1182545,allpaths
38,716545,1213859,SOAPdenovo
39,716545,1220924,allpaths
40,716545,1229662,Newbler
45,716545,1263415,Newbler
47,716545,1276141,SOAPdenovo
48,716545,1276143,SOAPdenovo
50,716545,1279043,allpaths
51,716545,1284197,Newbler
52,716545,1286976,CLC
53,716545,1287680,CLC
54,716545,1287681,CLC
64,716545,1328760,Allpaths-LG
65,716545,1344418,Allpaths-LG
70,716545,1367422,SPAdes
71,716545,1380566,Allpaths-LG
73,716545,1397361,Newbler
74,716545,1408163,Celera
80,716545,1441469,ALLPATHS-LG
81,716545,1442368,allpaths
82,716545,1442369,allpaths
83,716545,1442370,allpaths
84,716545,1442371,allpaths
85,716545,1445577,Velvet
86,716545,1460663,Allpaths-LG
90,716545,149040,Allpaths-LG
91,716545,1509407,Newbler
94,716545,1664694,SPAdes
98,716545,212818,allpaths
100,716545,215243,allpaths
101,716545,222929,
102,716545,227321,
103,716545,229533,
105,716545,236234,CLC
106,716545,237561,
109,716545,242507,
110,716545,246410,
111,716545,253628,allpaths
114,716545,27334,SOAPdenovo
117,716545,284590,
118,716545,284591,
119,716545,284592,
120,716545,284593,
121,716545,284811,
125,716545,294746,
126,716545,294747,
128,716545,306901,
129,716545,306902,
132,716545,321614,
133,716545,322104,
134,716545,330879,
135,716545,331117,
136,716545,33203,Allpaths-LG
137,716545,332648,
138,716545,332952,
140,716545,334819,
141,716545,336722,JAZZ
142,716545,336963,
143,716545,339724,
144,716545,341663,
145,716545,342668,CLC
146,716545,344612,
148,716545,348802,allpaths
155,716545,367110,Arachne
159,716545,379508,
160,716545,383855,Arachne
161,716545,398673,
166,716545,413071,phredPhrap
170,716545,425011,
172,716545,426418,
173,716545,426428,
174,716545,431241,
176,716545,436907,
179,716545,441959,
180,716545,441960,
182,716545,452589,phredPhrap
183,716545,45286,
184,716545,460523,Newbler
190,716545,4909,
191,716545,4950,
192,716545,498019,Newbler
193,716545,498019,SSPACE-STANDARD
194,716545,498257,
195,716545,500485,
196,716545,502779,Pilon
197,716545,502780,Pilon
199,716545,510516,
200,716545,510951,Newbler
202,716545,515849,
203,716545,526221,
204,716545,535722,Arachne
206,716545,554155,
208,716545,559292,
209,716545,559295,
210,716545,559298,Unknown
211,716545,559305,
212,716545,559307,
213,716545,5599,Allpaths-LG
215,716545,563466,CLC
218,716545,569365,allpaths
220,716545,573729,
221,716545,573826,
222,716545,578455,
238,716545,58627,Newbler
243,716545,590646,Newbler
247,716545,619300,Newbler
248,716545,644223,
249,716545,644352,Newbler
250,716545,645133,
258,716545,655819,Newbler
259,716545,655827,SOAPdenovo
260,716545,655844,Newbler
261,716545,655844,SOAPdenovo
262,716545,655863,
263,716545,656061,
264,716545,658429,Newbler
