taxid,assembler
1073325,unknown
1073327,unknown
1073351,Allpaths
1073353,Velvet
1073362,Allpaths
1073366,Allpaths
1073367,Allpaths
1073372,Allpaths
1073373,Allpaths
1073375,Allpaths
1073376,Allpaths
1073377,Allpaths
1073382,Allpaths
1073383,Allpaths
1073384,Allpaths
1073385,Allpaths
1073386,Allpaths
1073387,Allpaths
1073388,Allpaths
1073423,unknown
1073567,SOAPdenovo
1073569,GS
1073570,GS
1073571,unknown
1073571,Velvet
1073574,Newbler
1073767,unknown
1073841,Newbler
1073842,Celera
1073842,MIRA
1073969,Allpaths
1073969,Velvet
1073972,Newbler
1073985,Newbler
1073999,unknown
1074000,Celera
1074000,unknown
1074044,unknown
1074049,SPAdes
1074052,Newbler
1074053,Newbler
1074054,Newbler
1074055,Newbler
1074056,Newbler
1074057,Newbler
1074058,Newbler
1074059,Newbler
1074060,Newbler
1074061,Newbler
1074062,Newbler
1074063,Newbler
1074064,Newbler
1074065,Newbler
1074066,Newbler
1074067,Newbler
1074069,Newbler
1074070,Newbler
1074071,Newbler
1074072,Newbler
1074073,Newbler
1074074,Newbler
1074076,Newbler
1074077,Newbler
1074078,Newbler
1074079,Newbler
1074080,Newbler
1074081,Newbler
1074082,Newbler
1074083,Newbler
1074084,Newbler
1074085,Newbler
1074086,Newbler
1074088,Newbler
1074089,Newbler
1074090,Newbler
1074092,Newbler
1074093,Newbler
1074094,Newbler
1074095,Newbler
1074100,Newbler
1074101,Newbler
1074102,Newbler
1074104,Newbler
1074105,Newbler
1074106,Newbler
1074107,Newbler
1074108,Newbler
1074109,Newbler
1074111,Newbler
1074112,Newbler
1074113,Newbler
1074114,Newbler
1074115,Newbler
1074116,Newbler
1074117,Newbler
1074118,Newbler
1074119,Newbler
1074120,Newbler
1074121,Newbler
1074122,Newbler
1074123,Newbler
1074124,Newbler
1074125,Newbler
1074126,Newbler
