name,taxid
Thermoanaerobacterales Family III. Incertae Sedis,543371
Thermoanaerobacterium,28895
Caldicellulosiruptor,44000
Thermovenabulum,159730
Thermosediminibacter,291988
Caldanaerovirga,591374
Syntrophaceticus,862071
Thermoanaerobacterales Family IV. Incertae Sedis,543372
Mahella,252965
Thermodesulfobiaceae,227387
Coprothermobacter,68335
Thermodesulfobium,227388
Natranaerobiales,485256
Natranaerobiaceae,485255
Natranaerobius,375928
Tissierellia,1737404
Tissierellales,1737405
Peptoniphilaceae,1570339
Anaerococcus,165779
Finegoldia,150022
Peptoniphilus,162289
Parvimonas,543311
Murdochiella,1161127
Helcococcus,31983
Anaerosphaera,1273095
Lagierella,1945592
Tissierellaceae,1737406
Urmitella,1965226
Tissierella,41273
Sporanaerobacter,165812
Ezakiella,1582879
Kallipyga,1472763
Sedimentibacter,190972
Dethiosulfatibacter,448125
Erysipelotrichia,526524
Erysipelotrichales,526525
Erysipelotrichaceae,128827
Faecalitalea,1573534
Holdemanella,1573535
Erysipelothrix,1647
Faecalicoccus,1573536
Erysipelatoclostridium,1505663
Kandleria,1279388
Coprobacillus,100883
Catenibacterium,135858
Turicibacter,191303
Holdemania,61170
Bulleidia,118747
Massiliomicrobiota,1924110
Faecalibaculum,1729679
Ileibacterium,1937007
Dubosiella,1937008
Candidatus Stoquefichus,1470349
Dielma,1472649
Eggerthia,1279384
Merdibacter,1935200
Allobaculum,174708
Solobacterium,123375
Traorella,1929045
Negativicutes,909932
Acidaminococcales,1843488
Acidaminococcaceae,909930
Acidaminococcus,904
Succinispira,78119
Phascolarctobacterium,33024
Veillonellales,1843489
Veillonellaceae,31977
Megasphaera,906
Colibacter,1980675
Caecibacter,1980685
Veillonella,29465
Anaeroglobus,156454
Dialister,39948
Negativicoccus,909928
Selenomonadales,909929
Selenomonadaceae,1843491
Selenomonas,970
Anaerovibrio,82373
Megamonas,158846
Mitsuokella,52225
Schwartzia,55506
Propionispira,84034
Centipeda,82202
